Code,Name,Nickname,Mask,CQZone,ITUZone,Continent,Timezone,ValidFrom,ValidUntil
3,Afghanistan,T6,"YA|T6",21,40,AS,Asia/Kabul,1900-01-01,2035-12-31
5,Aland Is.,OH0,O[F-I]0,15,18,EU,Europe/Helsinki,1900-01-01,2035-12-31
6,Alaska,KL,[KANW]L,1,1,NA,America/Nome>America/Anchorage,1900-01-01,2035-12-31
9,American Samoa,KH8,[KANW]H8,32,62,OC,Pacific/Pago_Pago,1900-01-01,2035-12-31
10,Amsterdam & St. Paul Is.,FT[0-9]Z,FT[0-9]Z,39,68,AF,Indian/Kerguelen,1900-01-01,2035-12-31
11,Andaman & Nicobar Is.,VU4,VU4,26,49,AS,Asia/Kolkata,1900-01-01,2035-12-31
203,Andorra,C3,C3,14,27,EU,Europe/Andorra,1900-01-01,2035-12-31
401,Angola,D2,D[23],36,52,AF,Africa/Luanda,1900-01-01,2035-12-31
12,Anguilla,VP2E,VP2E,8,11,NA,America/Anguilla,1900-01-01,2035-12-31
94,Antigua & Barbuda,V2,V2,8,11,NA,America/Antigua,1900-01-01,2035-12-31
14,Armenia,EK,EK,21,29,AS,Asia/Yerevan,1900-01-01,2035-12-31
91,Aruba,P4,P4,9,11,SA,America/Aruba,1986-01-01,2035-12-31
205,Ascension I.,ZD8,ZD8,36,66,AF,Atlantic/St_Helena,1900-01-01,2035-12-31
16,Auckland & Campbell Is.,ZL9,Z[LM]9,32,60,OC,Pacific/Auckland,1900-01-01,2035-12-31
508,Austral I.,FO[A],"FO|T[OX]",32,63,OC,Pacific/Tahiti,1998-04-01,2035-12-31
17,Aves I.,YV0,"Y[V-Y]0|4M0",8,11,NA,America/Caracas,1900-01-01,2035-12-31
60,Bahamas,C6,C6,8,11,NA,America/Nassau,1900-01-01,2035-12-31
304,Bahrain,A9,A9,21,39,AS,Asia/Bahrain,1900-01-01,2035-12-31
20,Baker & Howland Is.,KH1,[KANW]H1,31,61,OC,Pacific/Pago_Pago,1900-01-01,2035-12-31
21,Balearic Is.,EA6,"E[A-H][06]|A[M-O][06]",14,37,EU,Europe/Madrid,1900-01-01,2035-12-31
490,Banaba I.,T33,"T3[A-Z]|T3[3-9]",31,65,OC,Pacific/Tarawa,1900-01-01,2035-12-31
305,Bangladesh,S2,S[23],22,41,AS,Asia/Dhaka,1900-01-01,2035-12-31
62,Barbados,8P,8P,8,11,NA,America/Barbados,1900-01-01,2035-12-31
209,Belgium,ON,O[N-T],14,27,EU,Europe/Brussels,1900-01-01,2035-12-31
66,Belize,V3,V3,7,11,NA,America/Belize,1900-01-01,2035-12-31
416,Benin,TY,TY,35,46,AF,Africa/Porto-Novo,1960-08-01,2035-12-31
64,Bermuda,VP9,VP9,5,11,NA,Atlantic/Bermuda,1900-01-01,2035-12-31
306,Bhutan,A5,A5,22,41,AS,Asia/Thimphu,1900-01-01,2035-12-31
520,Bonaire,PJ4,PJ[013489],9,11,SA,America/Curacao,2010-10-10,2035-12-31
501,Bosnia-Herzegovina,E7,E7,15,28,EU,Europe/Belgrade,1991-10-15,2035-12-31
402,Botswana,A2,"A2|8O",38,57,AF,Africa/Gaborone,1900-01-01,2035-12-31
24,Bouvet I.,3Y[B],3Y,38,67,AF,+00:00,1900-01-01,2035-12-31
65,British Virgin Is.,VP2V,VP2V,8,11,NA,America/Tortola,1900-01-01,2035-12-31
345,Brunei,V8,V8,28,54,OC,Asia/Brunei,1900-01-01,2035-12-31
480,Burkina Faso,XT,XT,35,46,AF,Africa/Ouagadougou,1960-08-16,2035-12-31
404,Burundi,9U,9U,36,52,AF,Africa/Bujumbura,1962-07-01,2035-12-31
312,Cambodia,XU,XU,26,49,AS,Asia/Phnom_Penh,1900-01-01,2035-12-31
406,Cameroon,TJ,TJ,36,47,AF,Africa/Douala,1900-01-01,2035-12-31
29,Canary Is.,EA8,"E[A-H][08]|A[M-O][08]",33,36,AF,Atlantic/Canary,1900-01-01,2035-12-31
409,Cape Verde,D4,D4,35,46,AF,Atlantic/Cape_Verde,1900-01-01,2035-12-31
408,Central Africa,TL,TL,36,47,AF,Africa/Bangui,1960-08-13,2035-12-31
31,Central Kiribati (Phoenix Is.),T31,"T3[A-Z]|T3[14-9]",31,62,OC,Pacific/Enderbury,1900-01-01,2035-12-31
32,Ceuta & Melilla,EA9,"E[A-H][09]|A[M-O][09]",33,37,AF,Africa/Ceuta,1900-01-01,2035-12-31
410,Chad,TT,TT,36,47,AF,Africa/Ndjamena,1960-08-11,2035-12-31
33,Chagos Is.,VQ9,VQ9,39,41,AF,Indian/Chagos,1900-01-01,2035-12-31
34,Chatham Is.,ZL7,Z[LM]7,32,60,OC,Pacific/Chatham,1900-01-01,2035-12-31
