Id,Prefix,ValidFrom,ValidUntil,Countries_Code
1,K7,1900-01-01,2035-12-31,6
2,FA,1900-01-01,2035-12-31,400
3,K[HS]6,1900-01-01,2035-12-31,9
4,FB8Z,1900-01-01,2035-12-31,10
5,VU5,1900-01-01,2035-12-31,11
6,"PX,7B4",1900-01-01,2035-12-31,203
7,CR6,1900-01-01,2035-12-31,401
8,"[RU]G,[RU]6G,[RU]K6G",1900-01-01,2035-12-31,14
9,"[RU]D,[RU]6[CDKN],[RU]K6[CDKN]",1900-01-01,2035-12-31,18
10,CT2,1900-01-01,2035-12-31,149
11,VP7,1900-01-01,2035-12-31,60
12,MP4B,1900-01-01,2035-12-31,304
13,K[BF]6,1900-01-01,2035-12-31,20
14,VR1,1900-01-01,2035-12-31,490
15,VP6,1900-01-01,2035-12-31,62
16,"[UR]C,UK2[ACILOSW],4[J-L]2[ACILOSW],E[KM-ORU-Z]2[ACILOSW]",1900-01-01,2035-12-31,27
17,T9,1900-01-01,2035-12-31,501
18,ZS9,1900-01-01,2035-12-31,402
19,VS5,1900-01-01,2035-12-31,345
20,FE8,1900-01-01,2035-12-31,406
21,CR4,1900-01-01,2035-12-31,409
22,VP5,1900-01-01,2035-12-31,69
23,VR1,1900-01-01,2035-12-31,31
24,VQ8,1900-01-01,2035-12-31,33
25,C,1900-01-01,2035-12-31,318
26,ZC3,1900-01-01,2035-12-31,35
27,"VK1,ZC2",1900-01-01,2035-12-31,38
28,FC,1900-01-01,2035-12-31,214
29,FB8W,1900-01-01,2035-12-31,41
30,ZC4,1900-01-01,2035-12-31,215
32,KP4,1979-03-01,2035-12-31,43
33,VR[37],1900-01-01,2035-12-31,48
34,EA0,1900-01-01,2035-12-31,49
35,"ET2,MI3",1900-01-01,2035-12-31,51
36,"[UR]R,U2[RT],UK2[RT]",1900-01-01,2035-12-31,52
37,"D[A-LNOQR],DP[1-9]",1973-09-17,1990-10-02,230
38,VR2,1900-01-01,2035-12-31,176
39,4K2,1900-01-01,2035-12-31,61
40,"[RU]F,[RU]6[FOQV],[RU]K6[FOQV]",1900-01-01,2035-12-31,75
41,"[KW]G6,KB6",1900-01-01,2035-12-31,103
42,NY4,1900-01-01,2035-12-31,105
43,GC,1900-01-01,2035-12-31,106
