Mode|Submodes|Description|LotW Mode
AM|||AM
ARDOP||Amateur Radio Digital Open Protocol|DATA
ATV|||ATV
CHIP|CHIP64,CHIP128||DATA
CLO|||???
CONTESTI|||DATA
CW|PCW||CW
DIGITALVOICE|||???
DOMINO|DOMINOEX,DOMINOF||DATA
DSTAR|||???
FAX|||FAX
FM|||FM
FSK441|||DATA
HELL|FMHELL,FSKHELL,HELL80,HFSK,PSKHELL||DATA
ISCAT|ISCAT-A,ISCAT-B||DATA
JT4|JT4A,JT4B,JT4C,JT4D,JT4E,JT4F,JT4G||DATA
JT6M|||DATA
JT9|JT9-1,JT9-2,JT9-5,JT9-10,JT9-30||DATA
JT44|||DATA
JT65|JT65A,JT65B,JT65B2,JT65C,JT65C2||DATA
MFSK|MFSK4,MFSK8,MFSK11,MFSK16,MFSK22,MFSK31,MFSK32,MFSK64,MFSK128||DATA
MSK144|||DATA
MT63|||DATA
OLIVIA|OLIVIA 4/125,OLIVIA 4/250,OLIVIA 8/250,OLIVIA 8/500,OLIVIA 16/500,OLIVIA 16/1000,OLIVIA 32/1000||DATA
OPERA|OPERA-BEACON,OPERA-QSO||DATA
PAC|PAC2,PAC3,PAC4||DATA
PAX|PAX2||DATA
PKT|||DATA
PSK|FSK31,PSK10,PSK31,PSK63,PSK63F,PSK125,PSK250,PSK500,PSK1000,PSKAM10,PSKAM31,PSKAM50,PSKFEC31,QPSK31,QPSK63,QPSK125,QPSK250,QPSK500,SIM31||DATA
PSK2K|||DATA
Q15|||???
QRA64|QRA64A,QRA64B,QRA64C,QRA64D,QRA64E||DATA
ROS|ROS-EME,ROS-HF,ROS-MF||???
RTTY|ASCI||RTTY
RTTYM|||RTTY
SSB|LSB,USB||SSB
SSTV|||SSTV
THOR|||DATA
THRB|THRBX||DATA
TOR|AMTORFEC,GTOR||???
V4|||DATA
VOI|||???
WINMOR|||???
WSPR|||???
