Id,Name,Prefix,Country_Code
1,Antarctic Base (France),FT[0-9]Y,13
2,Unauthorized operation,YA,3
3,Guest operator,..0,400
4,Beacon or repeater,C30,203
5,HF 1-st class license,C31,203
6,Novice HF/VHF license,C33,203
7,VHF license,C32,203
8,Antarctic Base (Argentina),"L[2-9O-W][0-9]Z|A[YZ][0-9]Z",13
9,Antarctic Base (Australia),"AX0|V[H-NZ]0",13
10,Antarctic Base (Chile),"C[A-E]9|X[QR]9|3G9",13
11,Antarctic Base (Italy),IA0,13
12,Antarctic Base (New Zealand),Z[LM]5[A-Z],13
13,Antarctic Base (Norway),3Y,13
14,Antarctic Base (Russia),RI1AN,13
15,Antarctic Base (South Africa),Z[R-U]7[A-Z],13
16,Antarctic Base (South Korea),"HL8|6[K-N]8|D[7-9ST]8",13
17,Antarctic Base (UK),VP8,13
18,Antarctic Base (USN MARS),"KC4AA[A-F].|KC4US[A-Z].",13
19,General (1KW) or Superior (1.5KW),..[0-9][A-Z][A-Z].,100
20,Initial category (50W),AZ,100
21,Special event,"L[2-9]|L[O-TV]|AY",100
22,1 or 2 class license,EK[0-9][A-Z][A-Z].,14
23,3 or 4 class license,EK[0-9][A-Z][A-Z][A-Z].,14
24,Club Station,EK8,14
25,Foreign Operator,EK9,14
26,Reserved Prefix,EK3,14
27,Special Event,EK0,14
28,Contest station,P40,91
29,Resident,P43,91
30,"Resident, special event",P41,91
31,Visitor,P49,91
32,Advanced license,"[A-Z][A-Z][0-9][A-Z][A-Z].|[A-Z][A-Z][0-9][A-GIJKOSTUW-Z][A-Z][A-Z].",150
33,Beacon or repeater,[A-Z][A-Z][0-9]R[A-Z][A-Z].,150
34,Foundation license,[A-Z][A-Z][0-9]F[A-Z][A-Z][A-Z],150
35,Guides Australia,..[0-9]GG[A-Z].,150
36,International UN event,[A-Z][A-Z][0-9]IY[A-Z].,150
37,Local event,VI,150
38,National event,AX,150
39,Official ACA call sign,..[0-9]AA.,150
40,Scout Association,..[0-9]S[A-D][A-Z].,150
41,Standard license,[A-Z][A-Z][0-9][HLMNPV][A-Z][A-Z].,150
42,Wireless Institute (WIA),"[A-Z][A-Z][0-9]WI.|[A-Z][A-Z][0-9]WI[A-Z].",150
43,Club station / repeater / beacon,OE[0-9]X,206
44,Guest operator,OE[0-9]Z,206
45,Special station,OE0,206
46,1 category,..[0-9][A-Z][A-Z].,18
47,2;3 category,..[0-9][A-Z][A-V][A-Z].,18
48,Club Station,..[0-9][A-Z][W-Z][A-Z],18
49,Extra license,..[0-9][A-Z].,18
50,Special event,..[01],18
51,Club station,"CQ1|CS4",149
52,Special event,"CQ8|CR[12]",149
53,Alternate call for 6 m,EH,21
54,Cept class 1,E[AD],21
55,Cept class 2,E[BE],21
56,Cept class 3,E[CF],21
57,Special event,E[DEFG],21
58,Beacon/repeater,EV[1-4678][A-Z]R.,27
59,Class A and B,..[0-9][A-Z][A-Z].,27
60,Class C,..[0-9][A-Z][A-Z][A-Z].,27
61,Club station,..[0-9][WXZ],27
62,Contest station,EV[1-46-8][A-Z].,27
63,Guest Operator,E[UW]0,27
64,Lady,..[0-9]Y,27
65,Reserved prefix block,"..9|EV0",27
66,Special event,..5,27
67,"Guest Operator, 144 MHz",ON9A,209
68,"Guest operator, HF/VHF/UHF",ON9C,209
69,"Guest operator, VHF/UHF",ON9B,209
70,HF station,..[4-8],209
71,Novice VHF,ON2,209
72,QRO Contest station,OT,209
73,Repeater,ON0,209
74,Special event,O[RS],209
75,VHF station,..1,209
76,Novice,VP9N,64
77,Club or Event station,CP0,104
78,Foreign operator,3Y0,24
79,Class C license,"PU|Z[V-Z][0-9][A-Z]W[A-Z]",108
80,Contest or special event,"Z[V-Z][0-9]|..[0-9][A-Z].|PX8|PQ7|P[RS]2|P[P-S]9|PP4|PP3|P[VWX][1-79]|P[Q-T][13-6]",108
81,Foreign operator,..[0-9]Z,108
82,Special station,"LZ[0-9][0-9]|LZ[06-9][A-Z][A-Z]|LZ[0-9][A-Z].",212
83,Station at sea,VE0,1
84,Alternate call for 6 m,EH,29
85,Cept class 1,E[AD],29
86,Cept class 2,E[BE],29
87,Cept class 3,E[CF],29
88,Special event,E[DEFG],29
89,Visitor,ZF2,69
90,Foreign Operator,TL0,408
91,Alternate call for 6 m,EH,32
92,Cept class 1,E[AD],32
93,Cept class 2,E[BE],32
94,Cept class 3,E[CF],32
95,Special event,E[DEFG],32
96,1st class,BA,318
97,2nd class,BD,318
98,3rd class,BG,318
99,Club station,BY,318
100,Contest station,"B[0-9][A-Z].|B[0-9][A-Z][A-Z].",318
101,IOTA station,BI,318
102,Repeater,BR,318
103,Reserved prefix block,"3[H-U]|XS",318
104,Special event,"BT|B[0-9][A-Z].",318
105,Advanced license,"[A-Z][A-Z][0-9][A-Z][A-Z].|[A-Z][A-Z][0-9][A-GIJKSTUW-Z][A-Z][A-Z].",35
106,Foundation license,[A-Z][A-Z][0-9]F[A-Z][A-Z][A-Z].,35
107,Standard license,[A-Z][A-Z][0-9][HLMNPV][A-Z][A-Z].,35
108,Advanced license,"[A-Z][A-Z][0-9][A-Z][A-Z].|[A-Z][A-Z][0-9][A-GIJKSTUW-Z][A-Z][A-Z].",38
