Id,Name,Nickname,Prefix,CQZone,ITUZone,Continent,Province,Timezone,ValidFrom,ValidUntil,Countries_Code
1,Capital Territory,VK1,..1,30,59,OC,,Australia/Sydney,1900-01-01,2035-12-31,150
2,External territories,VK9,"[A-Z][A-Z]9R|[A-Z][A-Z]9[ABD-KOPQS-VYZ]R|[A-Z][A-Z]9[ABD-KOPQS-VYZ].|[A-Z][A-Z]9[ABD-KOPQS-VYZ][ABD-KOPQS-VYZ]|[A-Z][A-Z]9[0-9]",29,58,OC,,Australia/Perth,1900-01-01,2035-12-31,150
3,New South Wales,VK2,..2,30,59,OC,,,1900-01-01,2035-12-31,150
4,Northern Territory,VK8,..8,29,55,OC,,Australia/Darwin,1900-01-01,2035-12-31,150
5,Queensland,VK4,..4,30,55,OC,,,1900-01-01,2035-12-31,150
6,South Australia,VK5,..5,30,59,OC,,Australia/Adelaide,1900-01-01,2035-12-31,150
7,Tasmania,VK7,..7,30,59,OC,,Australia/Hobart,1900-01-01,2035-12-31,150
8,Victoria,VK3,..3,30,59,OC,,Australia/Melbourne,1900-01-01,2035-12-31,150
9,Western Australia,VK6,..6,29,58,OC,,Australia/Perth,1900-01-01,2035-12-31,150
10,Alberta,VE6,"V[ABCEGX]6|C[FGJK]6|X[KLM]6",4,2,NA,AB,America/Edmonton,1900-01-01,2035-12-31,1
11,British Columbia,VE7,"V[ABCEGX]7|C[FGJK]7|X[KLM]7",3,2,NA,BC,,1900-01-01,2035-12-31,1
12,Labrador,VO2,"V[DO]2|CH2|X[JN]2",2,9,NA,NL,,1900-01-01,2035-12-31,1
13,Manitoba,VE4,"V[ABCEGX]4|C[FGJK]4|X[KLM]4",4,3,NA,MB,America/Winnipeg,1900-01-01,2035-12-31,1
14,New Brunswick,VE9,"V[ABCEGX]9|C[FGJK]9|X[KLM]9",5,9,NA,NB,America/Moncton,1900-01-01,2035-12-31,1
15,Newfoundland,VO1,"V[DO]1|CH1|X[JN]1",5,9,NA,NL,America/St_Johns,1900-01-01,2035-12-31,1
16,North West Territories,VE8,"V[ABCEGX]8|C[FGJK]8|X[KLM]8",1,0,NA,NT,America/Yellowknife,1900-01-01,2035-12-31,1
17,Nova Scotia,VE1,"V[ABCEGX]1|C[FGJK]1|X[KLM]1",5,9,NA,NS,,1900-01-01,2035-12-31,1
18,Nunavut,VY0,"V[FY]0|X[KO]0|CI0",0,0,NA,NU,,1900-01-01,2035-12-31,1
19,Ontario,VE3,"V[ABCEGX]3|C[FGJK]3|X[KLM]3",4,0,NA,ON,,1900-01-01,2035-12-31,1
20,Prince Edward I.,VY2,"V[FY]2|X[KO]2|CI2",5,9,NA,PE,America/Halifax,1900-01-01,2035-12-31,1
21,Quebec,VE2,"V[ABCEGX]2|C[FGJK]2|X[KLM]2",0,0,NA,QC,,1900-01-01,2035-12-31,1
22,Saskatchewan,VE5,"V[ABCEGX]5|C[FGJK]5|X[KLM]5",4,3,NA,SK,,1900-01-01,2035-12-31,1
23,Yukon,VY1,"V[FY]1|X[KO]1|CI1",1,2,NA,YT,,1900-01-01,2035-12-31,1
24,Call Area 1,PY1,..1,11,15,SA,,America/Sao_Paulo,1900-01-01,2035-12-31,108
25,Call Area 2,PY2,..2,11,15,SA,,America/Sao_Paulo,1900-01-01,2035-12-31,108
26,Call Area 3,PY3,..3,11,13,SA,,America/Araguaina,1900-01-01,2035-12-31,108
27,Call Area 4,PY4,..4,11,15,SA,,America/Sao_Paulo,1900-01-01,2035-12-31,108
28,Call Area 5,PY5,..5,11,15,SA,,America/Sao_Paulo,1900-01-01,2035-12-31,108
29,Call Area 6,PY6,..6,11,13,SA,,,1900-01-01,2035-12-31,108
30,Call Area 7,PY7,..7,11,13,SA,,,1900-01-01,2035-12-31,108
31,Call Area 8,PY8,..8,11,0,SA,,,1900-01-01,2035-12-31,108
32,Call Area 9,PY9,..9,11,0,SA,,,1900-01-01,2035-12-31,108
33,"Rowley Shoals, OC-230",VK9[R],"[A-Z][A-Z]9R|[A-Z][A-Z]9[ABD-KOPQS-VYZ]R",29,58,OC,,Australia/Perth,1900-01-01,2035-12-31,150
34,Espirito Santo,PP1,"PP1|PU1[A-I]|PU1Z[A-I]",11,15,SA,ES,America/Sao_Paulo,1900-01-01,2035-12-31,108
35,Rio de Janeiro,,"PY1|PU1[J-Y]|PU1Z[J-Y]",11,15,SA,RJ,America/Sao_Paulo,1900-01-01,2035-12-31,108
36,Distrito Federal,PT2,"PT2|PU2[A-E]|PU2Z[A-E]",11,13,SA,DF,America/Sao_Paulo,1900-01-01,2035-12-31,108
37,Goias,PP2,"PP2|PU2[FGH]|PU2Z[FGH]",11,13,SA,GO,America/Sao_Paulo,1900-01-01,2035-12-31,108
38,Sao Paulo,,"PY2|PU2[K-Y]|PU2Z[K-Y]",11,15,SA,SP,America/Sao_Paulo,1900-01-01,2035-12-31,108
39,Tocantins,PQ2,"PQ2|PU2[IJ]|PU2Z[IJ]",11,13,SA,TO,America/Araguaina,1900-01-01,2035-12-31,108
40,Rio Grande do Sul,,"PY3|PU3[A-Y]|PU3Z[A-Y]",11,15,SA,RS,America/Sao_Paulo,1900-01-01,2035-12-31,108
41,Minas Gerais,,"PY4|PU4[A-Y]|PU4Z[A-Y]",11,15,SA,MG,America/Sao_Paulo,1900-01-01,2035-12-31,108
42,Parana,,"PY5|PU5[M-Y]|PU5Z[M-Y]",11,15,SA,PR,America/Sao_Paulo,1900-01-01,2035-12-31,108
43,Santa Catarina,PP5,"PP5|PU5[A-L]|PU5Z[A-L]",11,15,SA,SC,America/Sao_Paulo,1900-01-01,2035-12-31,108
44,Bahia,,"PY6|PU6[J-Y]|PU6Z[J-Y]",11,13,SA,BA,America/Bahia,1900-01-01,2035-12-31,108
45,Sergipe,PP6,"PP6|PU6[A-I]|PU6Z[A-I]",11,13,SA,SE,America/Maceio,1900-01-01,2035-12-31,108
46,Alagoas,PP7,"PP7|PU7[A-D]|PU7Z[A-D]",11,13,SA,AL,America/Maceio,1900-01-01,2035-12-31,108
47,Ceara,PT7,"PT7|PU7[M-P]|PU7Z[M-P]",11,13,SA,CE,America/Fortaleza,1900-01-01,2035-12-31,108
48,Paraiba,PR7,"PR7|PU7[E-H]|PU7Z[E-H]",11,13,SA,PB,America/Fortaleza,1900-01-01,2035-12-31,108
49,Pernambuco,,"PY7|PU7[R-Y]|PU7Z[R-Y]",11,13,SA,PE,America/Recife,1900-01-01,2035-12-31,108
50,Rio Grande do Norte,PS7,"PS7|PU7[I-L]|PU7Z[I-L]",11,13,SA,RN,America/Fortaleza,1900-01-01,2035-12-31,108
51,Acre,PT8,"PT8|PU8[JKL]|PU8Z[JKL]",11,12,SA,AC,America/Rio_Branco,1900-01-01,2035-12-31,108
52,Amapa,PQ8,"PQ8|PU8[GHI]|PU8Z[GHI]",11,13,SA,AP,America/Belem,1900-01-01,2035-12-31,108
53,Amazonas,PP8,"PP8|PU8[ABC]|PU8Z[ABC]",11,0,SA,AM,,1900-01-01,2035-12-31,108
54,Maranhao,PR8,"PR8|PU8[MNO]|PU8Z[MNO]",11,13,SA,MA,America/Fortaleza,1900-01-01,2035-12-31,108
55,Para,,"PY8|PU8[WXY]|PU8Z[WXY]",11,13,SA,PA,,1900-01-01,2035-12-31,108
56,Piaui,PS8,"PS8|PU8[P-S]|PU8Z[P-S]",11,13,SA,PI,America/Fortaleza,1900-01-01,2035-12-31,108
57,Rondonia,PW8,"PW8|PU8[DEF]|PU8Z[DEF]",11,12,SA,RO,America/Porto_Velho,1900-01-01,2035-12-31,108
58,Roraima,PV8,"PV8|PU8[TUV]|PU8Z[TUV]",11,0,SA,RR,America/Boa_Vista,1900-01-01,2035-12-31,108
59,Mato Grosso,,"PY9|PU9[O-Y]|PU9Z[O-Y]",11,0,SA,MT,America/Cuiaba,1900-01-01,2035-12-31,108
60,Mato Grosso do Sul,PT9,"PT9|PU9[A-N]|PU9Z[A-N]",11,15,SA,MS,America/Campo_Grande,1900-01-01,2035-12-31,108
61,Eastern Siberia,UA0,"[A-Z]0[A-Z][A-Z].|[A-Z]0[A-Z][A-Z][A-Z].|[A-Z][A-Z]0[A-Z]",0,0,AS,,,1900-01-01,2035-12-31,15
62,Western Siberia,,"[A-Z][89][A-Z][A-Z].|[A-Z][89][A-Z][A-Z][A-Z].|[A-Z][A-Z][89][A-Z]",0,0,AS,,,1900-01-01,2035-12-31,15
63,Central,,"[A-Z][235][A-Z][A-Z].|[A-Z][235][A-Z][A-Z][A-Z].|[A-Z][A-Z][235][A-Z]",16,29,EU,,Europe/Moscow,1900-01-01,2035-12-31,54
64,Northern Caucasus,UA6,"[A-Z][67][A-Z][A-Z].|[A-Z][67][A-Z][A-Z][A-Z].|[A-Z][A-Z][67][A-Z]",16,29,EU,,Europe/Moscow,1900-01-01,2035-12-31,54
65,Northwest,UA1,"[A-Z]1[A-Z][A-Z].|[A-Z]1[A-Z][A-Z][A-Z].|[A-Z][A-Z]1[A-Z]",16,0,EU,,Europe/Moscow,1900-01-01,2035-12-31,54
66,Volga,UA4,"[A-Z]4[A-Z][A-Z].|[A-Z]4[A-Z][A-Z][A-Z].|[A-Z][A-Z]4[A-Z]",16,0,EU,,,1900-01-01,2035-12-31,54
