"Name ","Data Type ","Enumeration ","Header Only ","Description"
"ADDRESS ","MultilineString ",,,"the contacted station's mailing address "
"ADIF_VER ","String ",,"yes ","identifies the version of the ADIF used in this file"
"AGE ","Number ",,,"the contacted station's operator's age in years"
"A_INDEX ","Number ",,,"the geomagnetic A index at the time of the QSO"
"ANT_AZ ","Number ",,,"the logging station's antenna azimuth, in degrees"
"ANT_EL ","Number ",,,"the logging station's antenna elevation, in degrees"
"ANT_PATH ","Enumeration ","Ant Path ",,"the signal path"
"ARRL_SECT ","Enumeration ","ARRL Section ",,"the contacted station's ARRL section"
"BAND ","Enumeration ","Band ",,"QSO Band"
"BAND_RX ","Enumeration ","Band ",,"in a split frequency QSO, the logging station's receiving band"
"CALL  ","String ",,,"the contacted station's Callsign"
"CHECK ","String ",,,"contest check (e.g. for ARRL Sweepstakes)"
"CLASS ","String ",,,"contest class (e.g. for ARRL Field Day)"
"CNTY ","Enumeration ","function of STATE ",,"the contacted station's Secondary Administrative Subdivision of contacted station (e.g. US county, JA Gun), in the specified format"
"COMMENT ","String ",,,"comment field for QSO"
"CONT ","Enumeration ","{NA, SA, EU , AF, OC, AS, AN} ",,"the contacted station's Continent"
"CONTACTED_OP ","String ",,,"the callsign of the individual operating the contacted station"
"CONTEST_ID ","String ","Contest ID ",,"QSO Contest Identifier"
"COUNTRY ","String ",,,"the contacted station's DXCC entity name"
"CQZ ","Number ",,,"the contacted station's CQ Zone"
"CREDIT_SUBMITTED ","AwardList ","Award ",,"the list of awards for which credit has been submitted"
"CREDIT_GRANTED ","AwardList ","Award ",,"the list of awards for which credit has been granted"
"DISTANCE ","Number ",,,"the distance between the logging station and the contacted station in kilometers"
"DXCC ","Enumeration ","DXCC ",,"the contacted station's Country Code"
"EMAIL ","String ",,,"the contacted station's email address"
"EQ_CALL ","String ",,,"the contacted station's owner's callsign"
"EQSL_QSLRDATE ","Date ",,,"date QSL received from eQSL.cc"
"EQSL_QSLSDATE ","Date ",,,"date QSL sent to eQSL.cc"
"EQSL_QSL_RCVD ","Enumeration ","{Y, N, R, I, V} ",,"eQSL.cc QSL received status: Yes, No, Requested, Invalid, Validated"
"EQSL_QSL_SENT ","Enumeration ","{Y, N, R, Q, I} ",,"eQSL.cc QSL sent status: Yes, No, Requested, Queued, Invalid"
"FORCE_INIT ","Boolean ",,,"new EME ""initial"""
"FREQ ","Number ",,,"QSO frequency in Megahertz"
"FREQ_RX ","Number ",,,"in a split frequency QSO, the logging station's receiving frequency in Megahertz"
"GRIDSQUARE ","String ",,,"the contacted station's Maidenhead Grid Square"
"GUEST_OP ","String ",,,"deprecated: use OPERATOR instead"
"IOTA ","String ",,,"the contacted station's IOTA designator, in format CC-XXX"
