Data Type Name	Data Type Indicator	Description	Minimum Value	Maximum Value	Import-only	Comments	ADIF Version	ADIF Status
AwardList		a comma-delimited list of members of the Award enumeration			Import-only		3.0.8	Released
CreditList		a comma-delimited list where each list item is either: A member of the Credit enumeration. A member of the Credit enumeration followed by a colon and an ampersand-delimited list of members of the QSL_Medium enumeration. For example IOTA,WAS:LOTW&CARD,DXCC:CARD					3.0.8	Released
SponsoredAwardList		a comma-delimited list of members of the Sponsored_Award enumeration					3.0.8	Released
Boolean	B	if True, the single ASCII character Y or y if False, the single ASCII character N or n					3.0.8	Released
Digit		an ASCII character whose code lies in the range of 48 through 57, inclusive					3.0.8	Released
Integer		a sequence of one or more Digits representing a decimal integer, optionally preceded by a minus sign (ASCII code 45). Leading zeroes are allowed.					3.0.8	Released
Number	N	a sequence of one or more Digits representing a decimal number, optionally preceded by a minus sign (ASCII code 45) and optionally including a single decimal point (ASCII code 46)					3.0.8	Released
PositiveInteger		an unsigned sequence of one or more Digits representing a decimal integer that has a value greater than 0. Leading zeroes are allowed.	1				3.0.8	Released
Character		an ASCII character whose code lies in the range of 32 through 126, inclusive					3.0.8	Released
IntlCharacter		a Unicode character (encoded with UTF-8) excluding line break CR (code 13) and LF (code 10) characters					3.0.8	Released
Date	D	8 Digits representing a UTC date in YYYYMMDD format, where YYYY is a 4-Digit year specifier, where 1930 <= YYYY MM is a 2-Digit month specifier, where 1 <= MM <= 12 [use leading zeroes] DD is a 2-Digit day specifier, where 1 <= DD <= DaysInMonth(MM) [use leading zeroes]					3.0.8	Released
Time	T	6 Digits representing a UTC time in HHMMSS format or 4 Digits representing a time in HHMM format, where HH is a 2-Digit hour specifier, where 0 <= HH <= 23 [use leading zeroes] MM is a 2-Digit minute specifier, where 0 <= MM <= 59 [use leading zeroes] SS is a 2-Digit second specifier, where 0 <= SS <= 59 [use leading zeroes]					3.0.8	Released
IOTARefNo		IOTA designator, in format CC-XXX, where CC is a member of the Continent enumeration XXX is the island group designator, where 1 <= XXX <= 999 [use leading zeroes]					3.0.8	Released
String	S	a sequence of Characters					3.0.8	Released
IntlString	I	a sequence of International Characters					3.0.8	Released
MultilineString	M	a sequence of Characters and line-breaks, where a line break is an ASCII CR (code 13) followed immediately by an ASCII LF (code 10)					3.0.8	Released
IntlMultilineString	G	a sequence of International Characters and line breaks					3.0.8	Released
Enumeration	E	an explicit list of legal case-insensitive values represented in ASCII set forth in set notation, e.g. {A, B, C, D}, or defined in a table					3.0.8	Released
GridSquare		a case-insensitive 2-character, 4-character, 6-character, or 8-character Maidenhead locator					3.0.8	Released
GridSquareList		a comma-delimited list of GridSquare items					3.0.8	Released
Location	L	a sequence of 11 characters representing a latitude or longitude in XDDD MM.MMM format, where X is a directional Character from the set {E, W, N, S} DDD is a 3-Digit degrees specifier, where 0 <= DDD <= 180 [use leading zeroes] There is a single space character in between DDD and MM.MMM MM.MMM is an unsigned Number minutes specifier with its decimal point in the third position, where 00.000 <= MM.MMM <= 59.999 [use leading and trailing zeroes]					3.0.8	Released
SecondarySubdivisionList		a colon-delimited list of two or more members of the Secondary_Administrative_Subdivision enumeration. E.g.: MA,Franklin:MA,Hampshire					3.0.8	Released
SOTARef		a sequence of Characters representing an International SOTA Reference. The sequence comprises: an ITU prefix if applicable, a SOTA subdivision a / Character a SOTA Reference Number Examples: W2/WE-003 G/LD-003					3.0.8	Released
